Sequence ID,Specimen ID,Genus*,Species*,Sex**,Collection date,Trap type†,County††,Trap Latitude,Trap Longitude,Habitat Type‡,Population Type‡,Blood fed status**  ,"RNA concentration, ng/uL",Visual Genus,Visual Species
CMS002_057a_Rb_S10_L004,CMS002_057a,Culex,pipiens,NA,11/28/17,EVS,PLCR,38.7872,-121.3729,Residential ,rural,unfed,47.2,Culex,pipiens
,,,,,,,,,,,,,,,
Table S1 abbreviations and footnotes,,,,,,,,,,,,,,,
NA = not available,,,,,,,,,,,,,,,
ND = not detectable ,,,,,,,,,,,,,,,
*genus and species call used for study based on whole transcriptome analysis,,,,,,,,,,,,,,,
 **sex and bloodfed status based on visual call from collection agency,,,,,,,,,,,,,,,
†Trap type abbreviations: AGO=CDC autocidal gravid ovitrap; BG=BG sentinel; EVS=encephalitis virus surveillance; FAY=Fay-Prince carbon dioxide baited; Gravid =CDC gravid trap; OVI=ovitrap,,,,,,,,,,,,,,,
"††County abbreviations: ALCO=Alameda, SAND=San Diego, WVAL=West Valley,COAV=Coachella Valley, PLCR=Placer",,,,,,,,,,,,,,,
‡Habitat type and Population information pulled from California Vectorborne Disease Surveillance System (CalSurv) data for each trap site,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
