sample_name,uploader,upload_date,overall_job_status,runtime_seconds,total_reads,nonhost_reads,nonhost_reads_percent,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,sample_type,nucleotide_type,collection_location,host_genome,notes,water
CMS002_025f_Rb_S145_L004,Kalani Ratnasiri,2018-07-16 16:20:53 -0700,COMPLETE,19667,78690306,618,0.001,5366,1,5.879,1.46,whole,RNA,"33.954615, -117.693828",Mosquito,"- id_method : TEA
- genus_species: Ae. Aegypti
- Number of mosquitos: 6
- Blood fed: N
Mosquito selected from a pool of 6 mosquitoes; tube contained beads and broken up parts
id_method: Light trap then added to rna shield",FALSE
CMS002_026a_Rb_S146_L004,Kalani Ratnasiri,2018-07-16 16:20:53 -0700,COMPLETE,17444,37269798,11688,0.031,29134,1,40.461,2.63,whole,RNA,"34.155852, -117.666926",Mosquito,"- id_method : TEA
- genus_species: Ae. Albopictus
- Number of mosquitos: 5
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes; tube contained beads and broken up parts
id_method: Light trap then added to rna shield",FALSE
CMS002_026b_Rb_S147_L004,Kalani Ratnasiri,2018-07-16 16:20:53 -0700,COMPLETE,19047,56506648,18398,0.033,43114,1,33.194,2.94,whole,RNA,"34.150853, -117.642917",Mosquito,"- id_method : TEA
- genus_species: Cx. Quinquefasciatus
- Number of mosquitos: 8
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes; tube contained beads and broken up parts
id_method: Light trap then added to rna shield",FALSE
CMS002_026c_Rb_S148_L004,Kalani Ratnasiri,2018-07-16 16:20:53 -0700,COMPLETE,18501,60679324,25302,0.042,80830,1,36.633,2.7,whole,RNA,"33.935, -117.655833",Mosquito,"- id_method : TEA
- genus_species: CX. Erythrothorax
- Number of mosquitos: 5
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes; tube contained beads and broken up parts
id_method: Light trap then added to rna shield",FALSE
CMS002_026d_Rb_S149_L004,Kalani Ratnasiri,2018-07-16 16:20:53 -0700,COMPLETE,23734,96884414,44056,0.045,16830,1,25.12,3.12,whole,RNA,"33.925833, -117.659722",Mosquito,"- id_method : TEA
- genus_species: Cx. Tarsalis
- Number of mosquitos: 5
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes; tube contained beads and broken up parts
id_method: Light trap then added to rna shield",FALSE
CMS002_026e_Rb_S150_L004,Kalani Ratnasiri,2018-07-16 16:20:53 -0700,COMPLETE,19120,61840756,19820,0.032,99524,1,29.626,2.79,whole,RNA,NA,Mosquito,"Mosquito selected from a pool of 5 mosquitoes; tube contained beads and broken up parts
id_method: Light trap then added to rna shield",FALSE
CMS002_027a_Rb_S152_L004,Kalani Ratnasiri,2018-07-16 16:20:53 -0700,COMPLETE,21345,37243342,33744,0.091,2060,1,6.28,1.85,whole,RNA,"34.150853, -117.642917",Mosquito,"- id_method : TEA
- genus_species: Cx. Quinquefasciatus
- Number of mosquitos: 8
- Blood fed: N
Mosquito selected from a pool of 8 mosquitoes
id_method: Light trap- dessicated, stored at RT then added to rna shield",FALSE
CMS002_027b_Rb_S153_L004,Kalani Ratnasiri,2018-07-16 16:20:53 -0700,COMPLETE,26794,83431474,183742,0.22,8096,1,22.141,2.09,whole,RNA,"34.150853, -117.642917",Mosquito,"- id_method : TEA
- genus_species: Cx. Quinquefasciatus
- Number of mosquitos: 8
- Blood fed: N
Mosquito selected from a pool of 8 mosquitoes
id_method: Light trap- dessicated, stored at RT then added to rna shield",FALSE
CMS002_028a_Rb_S154_L004,Kalani Ratnasiri,2018-07-16 16:20:53 -0700,COMPLETE,33427,78859068,115070,0.146,16582,1,29.676,2.26,whole,RNA,"33.935, -117.655833",Mosquito,"- id_method : TEA
- genus_species: CX. Erythrothorax
- Number of mosquitos: 5
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at RT then added to rna shield",FALSE
CMS002_028b_Rb_S155_L004,Kalani Ratnasiri,2018-07-16 16:20:53 -0700,COMPLETE,32288,109203686,137308,0.126,24236,1,37.633,2.92,whole,RNA,"33.935, -117.655833",Mosquito,"- id_method : TEA
- genus_species: CX. Erythrothorax
- Number of mosquitos: 5
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at RT then added to rna shield",FALSE
CMS002_028c_Rb_S156_L004,Kalani Ratnasiri,2018-07-16 16:20:53 -0700,COMPLETE,29999,91267932,125498,0.138,25946,1,21.624,2.39,whole,RNA,"33.935, -117.655833",Mosquito,"- id_method : TEA
- genus_species: CX. Erythrothorax
- Number of mosquitos: 5
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at RT then added to rna shield",FALSE
CMS002_028d_Rb_S157_L004,Kalani Ratnasiri,2018-07-16 16:20:53 -0700,COMPLETE,32918,97823918,167862,0.172,24772,1,21.387,2.29,whole,RNA,"33.935, -117.655833",Mosquito,"- id_method : TEA
- genus_species: CX. Erythrothorax
- Number of mosquitos: 5
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at RT then added to rna shield",FALSE
CMS002_028e_Rb_S158_L004,Kalani Ratnasiri,2018-07-16 16:20:53 -0700,COMPLETE,44860,124739806,676476,0.542,36290,1,39.917,2.24,whole,RNA,"33.935, -117.655833",Mosquito,"- id_method : TEA
- genus_species: CX. Erythrothorax
- Number of mosquitos: 5
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at RT then added to rna shield",FALSE
CMS002_029a_Rb_S159_L004,Kalani Ratnasiri,2018-07-16 16:20:53 -0700,COMPLETE,38325,93293792,309430,0.332,12848,1,22.224,1.75,whole,RNA,"33.925833, -117.659722",Mosquito,"- id_method : TEA
- genus_species: Cx. Tarsalis
- Number of mosquitos: 5
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at RT then added to rna shield",FALSE
CMS002_029b_Rb_S160_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,31536,85392072,182846,0.214,8450,1,31.565,2.04,whole,RNA,"33.925833, -117.659722",Mosquito,"- id_method : TEA
- genus_species: Cx. Tarsalis
- Number of mosquitos: 5
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at RT then added to rna shield",FALSE
CMS002_029c_Rb_S161_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,39920,93413514,194790,0.209,4918,1,15.273,2.26,whole,RNA,"33.925833, -117.659722",Mosquito,"- id_method : TEA
- genus_species: Cx. Tarsalis
- Number of mosquitos: 5
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at RT then added to rna shield",FALSE
CMS002_029d_Rb_S162_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,37694,78476036,300516,0.383,6896,1,18.516,1.84,whole,RNA,"33.925833, -117.659722",Mosquito,"- id_method : TEA
- genus_species: Cx. Tarsalis
- Number of mosquitos: 5
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at RT then added to rna shield",FALSE
CMS002_029e_Rb_S164_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,18842,25660162,193732,0.755,14406,1,69.626,1.5,whole,RNA,"33.925833, -117.659722",Mosquito,"- id_method : TEA
- genus_species: Cx. Tarsalis
- Number of mosquitos: 5
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at RT then added to rna shield",FALSE
CMS002_031a_Rb_S165_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,29689,46150948,286630,0.621,61106,1,44.548,1.63,whole,RNA,"33.516797, -116.082468",Mosquito,"- id_method : TEA
- genus_species: Cx. Tarsalis
- Number of mosquitos: 5
- Sex: females
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at RT then added to rna shield",FALSE
CMS002_032a_Rb_S166_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,32522,63556578,495598,0.78,78602,1,59.192,1.51,whole,RNA,"33.516797, -116.082468",Mosquito,"- id_method : TEA
- genus_species: Cx. Tarsalis
- Number of mosquitos: 6
- Sex: males
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at RT then added to rna shield",FALSE
CMS002_033a_Rb_S167_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,38839,71357226,422242,0.592,31584,1,48.835,1.71,whole,RNA,"33.569223, -116.079206",Mosquito,"- id_method : TEA
- genus_species: Cx. Tarsalis
- Number of mosquitos: 5
- Sex: females
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at RT then added to rna shield",FALSE
CMS002_034a_Rb_S168_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,21327,38621804,148282,0.384,24106,1,29.452,1.69,whole,RNA,"33.569223, -116.079206",Mosquito,"- id_method : TEA
- genus_species: Cx. Tarsalis
- Number of mosquitos: 4
- Sex: males
- Blood fed: N
Mosquito selected from a pool of 4 mosquitoes
id_method: Light trap- dessicated, stored at RT then added to rna shield",FALSE
CMS002_035a_Rb_S169_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,40182,73951030,626816,0.848,66950,1,52.661,1.63,whole,RNA,"33.539988, -116.078863",Mosquito,"- id_method : TEA
- genus_species: Cx. Tarsalis
- Number of mosquitos: 5
- Sex: females
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at RT then added to rna shield",FALSE
CMS002_036a_Rb_S170_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,29348,37781352,280752,0.743,86656,1,73.63,1.54,whole,RNA,"33.539988, -116.078863",Mosquito,"- id_method : TEA
- genus_species: Cx. Tarsalis
- Number of mosquitos: 5
- Sex: males
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at -20 then added to rna shield",FALSE
CMS002_037a_Rb_S171_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,36226,97570774,303764,0.311,17294,1,17.809,2.07,whole,RNA,"33.463593, -116.074278",Mosquito,"- id_method : TEA
- genus_species: Cx. Tarsalis
- Number of mosquitos: 5
- Sex: females
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at -20 then added to rna shield",FALSE
CMS002_038a_Rb_S172_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,36761,92324952,478196,0.518,43950,1,32.871,1.79,whole,RNA,"33.52908, -116.035213",Mosquito,"- id_method : TEA
- genus_species: Cx. Tarsalis
- Number of mosquitos: 5
- Sex: females
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at -20 then added to rna shield",FALSE
CMS002_039a_Rb_S173_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,32538,75161228,336788,0.448,47320,1,50.075,1.67,whole,RNA,"33.532468, -116.060957",Mosquito,"- id_method : TEA
- genus_species: Cx. Tarsalis
- Number of mosquitos: 5
- Sex: females
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at -20 then added to rna shield",FALSE
CMS002_040a_Rb_S174_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,27293,65632852,348576,0.531,68298,1,52.595,1.72,whole,RNA,"33.532468, -116.060957",Mosquito,"- id_method : TEA
- genus_species: Cx. Tarsalis
- Number of mosquitos: 5
- Sex: males
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at -20 then added to rna shield",FALSE
CMS002_041a_Rb_S176_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,28185,49581704,200106,0.404,48380,1,45.773,1.71,whole,RNA,"33.510767, -115.920793",Mosquito,"- id_method : TEA
- genus_species: Cx. Tarsalis
- Number of mosquitos: 5
- Sex: females
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at -20 then added to rna shield",FALSE
CMS002_042a_Rb_S177_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,17957,34365364,72474,0.211,13178,1,70.572,1.68,whole,RNA,"33.525475, -115.956632",Mosquito,"- id_method : TEA
- genus_species: Cx. Tarsalis
- Number of mosquitos: 5
- Sex: females
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at -20 then added to rna shield",FALSE
CMS002_044a_Rb_S178_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,18328,51576844,3738,0.007,24708,1,10.654,1.35,whole,RNA,"33.954531, -117.692953",Mosquito,"- id_method : TEA
- genus_species: Ae. Aegypti
- Number of mosquitos: 5
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at -20 then added to rna shield",FALSE
CMS002_044b_Rb_S179_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,18008,38526446,1582,0.004,56828,1,27.965,1.3,whole,RNA,"33.954531, -117.692953",Mosquito,"- id_method : TEA
- genus_species: Ae. Aegypti
- Number of mosquitos: 5
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at -20 then added to rna shield",FALSE
CMS002_044c_Rb_S180_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,20405,93622432,2034,0.002,24652,1,4.618,1.38,whole,RNA,"33.954531, -117.692953",Mosquito,"- id_method : TEA
- genus_species: Ae. Aegypti
- Number of mosquitos: 5
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at -20 then added to rna shield",FALSE
CMS002_044d_Rb_S181_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,21335,111230412,6034,0.005,66578,1,5.271,1.6,whole,RNA,"33.954531, -117.692953",Mosquito,"- id_method : TEA
- genus_species: Ae. Aegypti
- Number of mosquitos: 5
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at -20 then added to rna shield",FALSE
CMS002_044e_Rb_S182_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,17755,50807004,4226,0.008,165276,1,38.675,1.7,whole,RNA,"33.954531, -117.692953",Mosquito,"- id_method : TEA
- genus_species: Ae. Aegypti
- Number of mosquitos: 5
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes
id_method: Light trap- dessicated, stored at -20 then added to rna shield",FALSE
CMS002_045a_Rb_S183_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,26014,88956902,35756,0.04,21398,1,11.562,3.17,whole,RNA,"34.151881, -117.66295",Mosquito,"- id_method : TEA
- genus_species: Ae. Albopictus 
- Number of mosquitos: 7
- Blood fed: N
Mosquito selected from a pool of 7 mosquitoes
id_method: Light trap- dessicated, stored at -20 then added to rna shield",FALSE
CMS002_045b_Rb_S184_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,21762,62566848,45804,0.073,92990,1,42.232,2.76,whole,RNA,"34.151881, -117.66295",Mosquito,"- id_method : TEA
- genus_species: Ae. Albopictus 
- Number of mosquitos: 7
- Blood fed: N
Mosquito selected from a pool of 7 mosquitoes
id_method: Light trap- dessicated, stored at -20 then added to rna shield",FALSE
CMS002_045c_Rb_S185_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,19494,53689962,105124,0.196,346240,1,84.062,3.29,whole,RNA,"34.151881, -117.66295",Mosquito,"- id_method : TEA
- genus_species: Ae. Albopictus 
- Number of mosquitos: 7
- Blood fed: N
Mosquito selected from a pool of 7 mosquitoes
id_method: Light trap- dessicated, stored at -20 then added to rna shield",FALSE
CMS002_045d_Rb_S186_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,21867,54817098,181534,0.331,49364,1,42.701,2.23,whole,RNA,"34.151881, -117.66295",Mosquito,"- id_method : TEA
- genus_species: Ae. Albopictus 
- Number of mosquitos: 7
- Blood fed: N
Mosquito selected from a pool of 7 mosquitoes
id_method: Light trap- dessicated, stored at -20 then added to rna shield",FALSE
CMS002_045e_Rb_S188_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,25573,44910420,242958,0.541,83058,1,84.425,2.62,whole,RNA,"34.151881, -117.66295",Mosquito,"- id_method : TEA
- genus_species: Ae. Albopictus 
- Number of mosquitos: 7
- Blood fed: N
Mosquito selected from a pool of 7 mosquitoes",FALSE
CMS002_045f_Rb_S189_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,18008,34302400,21838,0.064,83472,1,79.355,3.19,whole,RNA,"34.151881, -117.66295",Mosquito,"- id_method : TEA
- genus_species: Ae. Albopictus 
- Number of mosquitos: 7
- Blood fed: N
Mosquito selected from a pool of 7 mosquitoes",FALSE
CMS002_045g_Rb_S190_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,18740,43011038,98364,0.229,59586,1,80.59,2.78,whole,RNA,"34.151881, -117.66295",Mosquito,"- id_method : TEA
- genus_species: Ae. Albopictus 
- Number of mosquitos: 7
- Blood fed: N
Mosquito selected from a pool of 7 mosquitoes",FALSE
CMS002_046a_Rb_S191_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,30491,99761686,89374,0.09,15644,1,10.715,2,whole,RNA,"33.9725, -117.714444",Mosquito,"- id_method : TEA
- genus_species: Cx. Quinquefasciatus
- Number of mosquitos: 5
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes; tube contained beads and broken up parts",FALSE
CMS002_046b_Rb_S192_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,21934,86797744,99992,0.115,15900,1,22.053,1.9,whole,RNA,"33.9725, -117.714444",Mosquito,"- id_method : TEA
- genus_species: Cx. Quinquefasciatus
- Number of mosquitos: 5
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes; tube contained beads and broken up parts",FALSE
CMS002_047a_Rb_S193_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,28350,75891160,145250,0.191,15406,1,28.666,2.09,whole,RNA,"33.93778, -117.633056",Mosquito,"- id_method : TEA
- genus_species: CX. Erythrothorax
- Number of mosquitos: 10
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes; tube contained beads and broken up parts",FALSE
CMS002_047b_Rb_S194_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,18458,35774292,66854,0.187,58352,1,66.488,1.78,whole,RNA,"33.93778, -117.633056",Mosquito,"- id_method : TEA
- genus_species: CX. Erythrothorax
- Number of mosquitos: 10
- Blood fed: N
Mosquito selected from a pool of 10 mosquitoes; tube contained beads and broken up parts",FALSE
CMS002_047c_Rb_S195_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,28159,76639662,150590,0.196,30186,1,33.812,1.86,whole,RNA,"33.93778, -117.633056",Mosquito,"- id_method : TEA
- genus_species: CX. Erythrothorax
- Number of mosquitos: 10
- Blood fed: N
Mosquito selected from a pool of 10 mosquitoes; tube contained beads and broken up parts",FALSE
CMS002_047d_Rb_S196_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,29071,84501126,202738,0.24,31214,1,47.059,2.09,whole,RNA,"33.93778, -117.633056",Mosquito,"- id_method : TEA
- genus_species: CX. Erythrothorax
- Number of mosquitos: 10
- Blood fed: N
Mosquito selected from a pool of 10 mosquitoes; tube contained beads and broken up parts",FALSE
CMS002_047e_Rb_S197_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,25776,77821980,185822,0.239,8952,1,39.716,2.14,whole,RNA,"33.93778, -117.633056",Mosquito,"- id_method : TEA
- genus_species: CX. Erythrothorax
- Number of mosquitos: 10
- Blood fed: N
Mosquito selected from a pool of 10 mosquitoes; tube contained beads and broken up parts",FALSE
CMS002_047f_Rb_S198_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,23660,55260394,137186,0.248,26166,1,29.126,1.85,whole,RNA,"33.93778, -117.633056",Mosquito,"- id_method : TEA
- genus_species: CX. Erythrothorax
- Number of mosquitos: 10
- Blood fed: N
Mosquito selected from a pool of 10 mosquitoes; tube contained beads and broken up parts",FALSE
CMS002_047g_Rb_S200_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,22377,32029932,134566,0.42,9966,1,34.351,1.92,whole,RNA,"33.93778, -117.633056",Mosquito,"- id_method : TEA
- genus_species: CX. Erythrothorax
- Number of mosquitos: 10
- Blood fed: N
Mosquito selected from a pool of 10 mosquitoes; tube contained beads and broken up parts",FALSE
CMS002_047h_Rb_S1_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,22452,54254598,103446,0.191,17440,1,38.002,2.08,whole,RNA,"33.93778, -117.633056",Mosquito,"- id_method : TEA
- genus_species: CX. Erythrothorax
- Number of mosquitos: 10
- Blood fed: N
Mosquito selected from a pool of 10 mosquitoes; tube contained beads and broken up parts",FALSE
CMS002_047i_Rb_S2_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,23224,54727762,107640,0.197,8140,1,26.013,1.99,whole,RNA,"33.93778, -117.633056",Mosquito,"- id_method : TEA
- genus_species: CX. Erythrothorax
- Number of mosquitos: 10
- Blood fed: N
Mosquito selected from a pool of 10 mosquitoes; tube contained beads and broken up parts",FALSE
CMS002_047j_Rb_S3_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,22869,66671224,149082,0.224,31550,1,40.379,1.94,whole,RNA,"33.93778, -117.633056",Mosquito,"- id_method : TEA
- genus_species: CX. Erythrothorax
- Number of mosquitos: 10
- Blood fed: N
Mosquito selected from a pool of 10 mosquitoes; tube contained beads and broken up parts",FALSE
CMS002_049a_Rb_S4_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,19541,55951408,83096,0.149,27144,1,22.586,1.61,whole,RNA,"38.739939, -121.305636",Mosquito,"- id_method : FREEZE
- genus_species: Cx.Pipiens
- Number of mosquitos: 3
- Blood fed: N
Mosquito selected from a pool of 3 mosquitoes",FALSE
CMS002_050a_Rb_S5_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,17534,40223370,4052,0.01,1608,1,11.521,2.98,whole,RNA,"38.824306, -121.257067",Mosquito,"- id_method : FREEZE
- genus_species: Cx.Pipiens
- Number of mosquitos: 1
- Blood fed: N",FALSE
CMS002_051a_Rb_S6_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,22351,81237864,139988,0.172,5968,1,25.487,2.52,whole,RNA,"38.897572, -121.311747",Mosquito,"- id_method : FREEZE
- genus_species: Cx.Pipiens
- Number of mosquitos: 5
- Blood fed: N
Mosquito selected from a pool of 5 mosquitoes",FALSE
CMS002_053a_Rb_S7_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,5718,150000000,1233696,0.822,48218,1,45.143,1.8,whole,RNA,"38.836781, -121.39119",Mosquito,"- id_method : FREEZE
- genus_species: Cx.Pipiens
- Number of mosquitos: 1
- Blood fed: N",FALSE
CMS002_054a_Rb_S8_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,19025,75446550,85110,0.113,7692,1,49.713,1.57,whole,RNA,"38.772222, -121.4695",Mosquito,"- id_method : FREEZE
- genus_species: Cx.Pipiens
- Number of mosquitos: 1
- Blood fed: N",FALSE
CMS002_056a_Rb_S9_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,28069,38502368,417130,1.083,69908,1,63.449,1.61,whole,RNA,"38.787211, -121.372895",Mosquito,"- id_method : FREEZE
- genus_species: Cx. Tarsalis 
- Number of mosquitos: 1
- Blood fed: N
head + 1 leg only",FALSE
CMS002_057a_Rb_S10_L004,Kalani Ratnasiri,2018-07-16 16:20:54 -0700,COMPLETE,20314,52687788,53942,0.102,18342,1,20.815,2.49,whole,RNA,"38.787211, -121.372895",Mosquito,"- id_method : FREEZE
- genus_species: Cx.Pipiens
- Number of mosquitos: 1
- Blood fed: N",FALSE
CMS002_0Water1_Rb_S127_L004,Kalani Ratnasiri,2018-07-16 16:20:55 -0700,COMPLETE,16225,247124,1400,0.567,175282,1,9.645,1.33,water,RNA,NA,Mosquito,id_method: HLC then added to rna shield,TRUE
CMS002_0Water2_Rb_S139_L004,Kalani Ratnasiri,2018-07-16 16:20:55 -0700,COMPLETE,16168,190334,1274,0.669,141826,1,10.077,1.25,water,RNA,NA,Mosquito,id_method: Light trap then added to rna shield,TRUE
CMS002_0Water3_Rb_S151_L004,Kalani Ratnasiri,2018-07-16 16:20:55 -0700,COMPLETE,16418,175490,1400,0.798,137646,1,11.99,1.22,water,RNA,NA,Mosquito,id_method: Light trap then added to rna shield,TRUE
CMS002_0Water4_Rb_S163_L004,Kalani Ratnasiri,2018-07-16 16:20:55 -0700,COMPLETE,16246,168186,1734,1.031,124906,1,14.394,1.27,water,RNA,NA,Mosquito,"id_method: Light trap- dessicated, stored at RT then added to rna shield",TRUE
CMS002_0Water5_Rb_S175_L004,Kalani Ratnasiri,2018-07-16 16:20:55 -0700,COMPLETE,16224,273804,1842,0.673,192392,1,10.186,1.35,water,RNA,NA,Mosquito,"id_method: Light trap- dessicated, stored at -20 then added to rna shield",TRUE
CMS002_0Water6_Rb_S187_L004,Kalani Ratnasiri,2018-07-16 16:20:55 -0700,COMPLETE,17626,51178,552,1.079,37232,1,14.342,1.2,water,RNA,NA,Mosquito,NA,TRUE
CMS002_0Water7_Rb_S199_L004,Kalani Ratnasiri,2018-07-16 16:20:55 -0700,COMPLETE,16207,184738,1340,0.725,137964,1,9.939,1.24,water,RNA,NA,Mosquito,NA,TRUE
CMS002_0Water8_Rb_S11_L004,Kalani Ratnasiri,2018-07-16 16:20:55 -0700,COMPLETE,16180,4534,64,1.412,2992,1,12.791,1.08,water,RNA,NA,Mosquito,NA,TRUE
